1,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
14,False,,[],777791,en,Lego Star Wars: Battle of Sebiris,"General Obi-Wan Kenobi has found himself in trouble with the separatist army and has only just escaped with very few troops remaining. Separatist leader General Grievous has been working closely with Darth Sidious on a new weapon that they plan to unleash to the republic. This weapon has been constructed without the republic knowing about it, on the hot and forest planet Sebiris located on the outer rim. Commander Cody has recently been assigned to lead a small group of clone troopers in discovering and disarming this new weapons facility before it wipes out the republic....",0.706,/aIhCVBUDEbJONtkjat2j0EzhKNv.jpg,2016-10-12,Lego Star Wars: Battle of Sebiris,False,6.0,2
15,False,,[878],690208,en,Star Wars: Path of the Jedi,"Star Wars: Path of the Jedi is a 10-minute montage of memorable moments from all seven of the Star Wars movies. Rather than try to recap the plot of the first six films, Path of the Jedi takes iconic images and dialogue from the saga and stitches them together thematically instead of chronologically.",0.6,,2015-11-16,Star Wars: Path of the Jedi,False,0.0,0
16,False,,[99],372909,en,How Star Wars Changed the World,"Documentary taking a warm and celebratory look at the countless ways the Star Wars universe has inspired fans all over the globe. Whether it be adhering to the scriptures of Jedi, perfecting one's light-saber skills, designing a Wookie costume, or making a self-financed fan film, this show revels in the bright side of the Force.",0.6,,2015-12-11,How Star Wars Changed the World,False,5.5,2
17,False,,[],359414,en,Lego Star Wars: The Complete Brick Saga So Far,"LEGO Star Wars is a series of TV Movies telling stories from the Star Wars universe using the distinctive characters from the world of LEGO and the animation style of the LEGO Star Wars computer games. Starting in 2005; the first film ""Revenge of the Brick"" was created to coincide with the theatrical release of Revenge of the Sith.",0.824,,2011-09-01,Lego Star Wars: The Complete Brick Saga So Far,True,6.3,4
18,False,,[],774692,en,LEGO Star Wars: The Han Solo Affair,"From between the scenes of The Empire Strikes Back, it's the Han Solo Affair!  Han Solo's friends hatch a plan to rescue him from the clutches of Darth Vader and Boba Fett.  Will they succeed? Find out in this wacky Star Wars adventure!",0.6,/dxubj4jsBjFYJaraP2njHzEyboQ.jpg,,LEGO Star Wars: The Han Solo Affair,False,5.5,3
19,False,/xsDBlX7V2gNAbs5ksD8h0h2PO92.jpg,[10402],509770,en,The Star Wars Suite – The Danish National Symphony Orchestra,"On June 2017,  the Danish Broadcasting Corporation (DR) hosted three orchestral concerts called Galaxymphony which included some of the soundtrack from various space and sci-fi movies. This is their version of some of the Star Wars soundtrack across all seven movies.  The concert was hosted by Jakob Stegelmann and conducted by Antony Hermus. The performance was orchestrated by The Danish National Symphony Orchestra with help from the 'Camerata' and 'Hymnia' choirs. As told in the video, the host, Jakob Stegelmann, is very passionate about the Star Wars films and therefore evidently the main event of the concert. Therefore, I have shared this extra long video (what a horror it was to render) for you to enjoy.",0.6,/xtDalKKBuJ9X8kG1WpKe7RfH10U.jpg,2007-06-01,The Star Wars Suite – The Danish National Symphony Orchestra,False,0.0,0
0,False,/eQCaAnFJW4Q0wlTI5fxExsFnLnR.jpg,"[878, 28]",858174,en,A Blaster In The Right Hands: A Star Wars Story,"Two bounty hunters - a ruthless Pantoran and Twi’lek refugee, cross paths while attempting to obtain a valuable cargo from a crashed imperial shuttle. But they soon discover they’re not the only hired gun around.  Filmed in Picton NSW, Australia, A Blaster In The Right Hands: A Star Wars Story is a fan-film and a homage to classic Spaghetti Westerns and 'Star Wars'. Produced by LUNACRAFT PRODUCTIONS from director Richard de Carvalho and Producer Carol Jovicic, amongst their talented and passionate team of artists, featuring make-up FX prosthetics by ODD STUDIO (Mad Max: Fury Road, Alien: Covenant) with post-production completed at Sydney's POW WOW STUDIOS (Mad Max: Fury Road, Gods Of Egypt).  'A Blaster in The Right Hands: A Star Wars Story' is a non-profit unofficial fan-film that is not intended for commercial use produced by Lunacraft Productions. 'Star Wars' is owned by Lucasfilm/Disney and this fan-film is not connected in any way to said companies.",0.737,/A9XYrXeLM12qtP7OVBjHi9zOwIn.jpg,2021-05-31,A Blaster In The Right Hands: A Star Wars Story,False,6.0,1
1,False,/w1nyNG8xEDMeJrqELerYySF2KaX.jpg,[99],656161,en,Toy Empire: The British Force Behind Star Wars Toys,Superfan David Whiteley celebrates how an unassuming band of designers and factory workers in Leicestershire created the toys which were to define a generation.,0.6,/nOC6Dzrqy1GkrAPSt1tWkdyVPoT.jpg,2019-12-16,Toy Empire: The British Force Behind Star Wars Toys,False,0.0,0
2,False,/dUkCHy02dtFWQwyCKQKlf1sRm0D.jpg,"[16, 12, 10751, 14, 878]",161704,ja,映画ドラえもん のび太の宇宙小戦争,"Papi, the tiny president of a faraway planet, escapes to Earth to avoid being captured by the military forces that took over. Despite being welcomed by Doraemon, Nobita and their friends, the little alien notices that his enemies have also reached this world and doesn't want to get his human friends involved in this war. Doraemon, Nobita, Gian, Suneo, and Shizuka start a big adventure as they try to hide and protect Papi.",7.595,/oLXqorJ3CtXkR90wCBkg4WnITL3.jpg,1985-03-16,Doraemon: Nobita's Little Star Wars,False,6.4,9
3,False,/dMZxEdrWIzUmUoOz2zvmFuutbj7.jpg,"[12, 28, 878]",1891,en,The Empire Strikes Back,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",31.361,/7BuH8itoSrLExs2YZSsM01Qk2no.jpg,1980-05-20,The Empire Strikes Back,False,8.4,13685
4,False,,[],782054,ja,映画ドラえもん のび太の宇宙小戦争（リトルスターウォーズ） 2021,No overview found.,6.972,/doGprrKxeGvmEk4N0mr5VH60E64.jpg,2021-03-05,Doraemon the Movie 2021: Nobita's Space War (Little Star Wars),False,0.0,0
